,Premise,Hypothesis,Label
312510,She did not care whether or not she got the paper.,"She determined to get hold of that paper at all costs, and in this resolution chance came to her aid.",contradiction
133122,He did not eat half of the food served.,Half the dishes that were placed before him he forgot to eat.,entailment
239944,LSC's authority encourages efficient local legal services for wealthy people.,"LSC's grant making and regulatory authority promotes expanded, effective, and efficient state and local legal services to low income persons.",contradiction
109351,Lots of mountainous and coastal regions,lots of uh mountainous region and coastal regions,entailment
308698,The top item of this week relates to McCain-Feingold.,This week's top item (yawn): the scuttling of McCain-Feingold.,entailment
302148,The World Bank cannot be accessed by anyone.,"The World Bank, the CIA, and other China sources are just one click away.",contradiction
366286,"I tried several of his works, but I did not like a single one.",he's got several out that i like and uh matter fact,contradiction
35330,The Times is well-known for manipulating the quotes they use and changing them for their own malicious uses.,It is not as if the Times cleans up Clinton's quotes,contradiction
66699,The clause is applicable to all changes that have a negative impact on minority participation.,This clause applies to even minor changes that could reduce minority participation.,entailment
331449,Fiscal year 2005 data says the Arkansas Food Stamp program provided $10.,"According to fiscal year 2000 data, Texas' Food Stamp program provided approximately $1.",contradiction
383581,The bill was killed in the Senate over three years ago.,"Senate Republicans last month killed a reform bill that would have cracked down on PACs, soft money, and other current arrangements some people don't care for.",contradiction
152438,How much did it cost per call? I hope they follow through.,was it five dollars a call or something well hope i hope they follow through and everything,entailment
19721,"Greuze had exclaimed ""Oh, Ben,"" as we were leaving.","'Oh, Ben,' Greuze called, as we were leaving.",entailment
147857,Problems with alcohol have been going on for a very long time in society.,There's been a very long history in society of problems with alcohol.,entailment
260207,It is an amazing thing.,i mean just the very second it's really strange they uh they must uh work on that you know the the it gets cooler when the sun sets and then they all come out,neutral
57877,Tudjman is recovering nicely.,"According to most reports from Zagreb, Tudjman is brain dead and has been for some weeks.",contradiction
22687,Legal aid started in Southwest Virginia 130 years ago.,"That was the start of legal aid in Southwest Virginia, and Tate was among those who gathered here over the weekend to celebrate its 30 years of service.",contradiction
30501,I am going to be a paralegal one day.,which is why i'm going to enjoy the paralegal field a lot,entailment
124788,"If everything is closed and you need some cash, they're nice to have.",oh no um yeah the ATM's they're but they're nice though to have in case you need to get some quick cash and everything is closed,entailment
146832,I run for an hour each day after work.,and some nights i'll come home from work like i did last night and with rain in the forecast and the lawn was getting pretty high i said i got to mow the lawn but i want to go out and run now which do i do first,neutral
26795,I never was in Abilene.,yeah yep i i lived in Abilene for a little while,contradiction
387033,The old casts were much better.,They don't make casts like that any more.,entailment
324502,Mrs. Cavendish's husband was in fact a serial adulterer.,"Now Mrs. Cavendish is a very resolute woman, and, behind her mask of reserve, she was madly jealous of her husband.",neutral
316059,They had only two tickets for the two of them.,they they they had four tickets because their kids were there of course their kids came and went,contradiction
232771,More than 900 million claims per year are handled by Medicare.,"Authorized by Title XVIII of the Social Security Act in 1965, Medicare is the nation's largest health insurance program handling more than 900 million claims per year on behalf of elderly and disabled individuals at a cost of about $214.",entailment
15577,Unhappy customers have an official channel for making complaints.,"Membership imposes an obligation to maintain standards of both quality and service, and provides dissatisfied customers with an officially recognized channel for redressing complaints; the number to call is Tel. 2508 1234.",entailment
9467,I run out of things to do.,yeah i rea lly enjoy it i stay pretty busy,contradiction
229532,GM's EV1 is not very good or efficient.,"Rentals of GM's EV1 have been sluggish, and oil companies are funding anti-electric-car groups.",neutral
106926,The ceramic tiles in Portuguese homes are brightly colored.,"Their highly distinctive whitewashed houses and filigree chimneys are features of Portugal to this day, as are azulejos (handpainted, glazed ceramic tiles).",neutral
269559,Sather Karf exhaled tiredly.,Sather Karf sighed in weariness.,entailment
11703,Some say that Madeira rose above the waves when an underwater volcano erupted in the eight century BC.,"Befitting a lush, tropical island stranded in the middle of the ocean, Madeira's origins are shrouded in mystery and fanciful legend.",neutral
125906,In July the City and Schroeder settled the cases with a monetary award.,"The city of Boone gave Schroeder $6,300 in July to resolve pending cases, said Kathy Berg, Boone's finance officer.",entailment
20341,I do not mind spicy things.,and up here we're not really well some people are i guess up here i mean they'll eat fire but i'm just not i'm not i don't mind the spices i love garlic and all the rest of that but,entailment
19287,"Since it was dark, I was able to get her car to the other side of the highway when it died.",you know her car died on the highway and i happened to be with her and managed to get her to the other side of the road because it was dark and all,entailment
318437,People these days will do anything to get ahead.,Today's environment is results-oriented.,neutral
254018,The Fiscal Year in 1995 was the highest it has ever been.,"Financial  Examination of Customs' Fiscal Year 1993 Financial Statements (GAO/AIMD-94-119, June 15, 1994)",neutral
173217,Internet commerce might be taxed depending on the outcome of a federal panel.,A federal panel is deciding if and how to tax Internet commerce.,entailment
76568,"There are children around, so vulgarness shouldn't be on clothes.",and they don't allow uh any sweat any sweat shirts or t shirts that might have vulgar or you know anything like that on it but,neutral
33467,Ex parte communication is a common occurrence in the Department of Agriculture.,AMS said an ex parte communication is an oral or written private communication from someone outside of the United States Department of Agriculture to a Department official who is involved in decisionmaking on a pending rulemaking proceeding.,neutral
132282,The horsemen are on black horses.,"Horseman, pass by!",neutral
115887,Leonards work has capers and is well detailed.,"The book is said to display Leonard's usual flair for characters and capers (Henry Louis Gates, The New Yorker ) and period detail.",neutral
4338,"We may have had a falling out, but everything seems fine with the company",and uh  it's i think they're they're like all companies well represented and uh you know everything seems to be fine i i've kind of lost touch with the company we had a falling out but uh,entailment
304484,They both sat down.,"He got up, and so did she.",contradiction
266151,He didn't expect to see me right now.,31 He gave an exclamation of surprise at seeing me.,neutral
323735,German tribes showed up.,"Celtic tribes ' probably from eastern Europe ' came looking for greener pastures in the areas that are now Franche-Comt??, Alsace, and Bur?Â­gundy.",contradiction
129378,The one who polls the greatest total will be kicked out of the contest and declared a loser.,The Hackathlete who polls the greatest total will be declared the winner and will return next year to face three new challengers.,contradiction
270926,Her husband likes to be flirted with by strangers.,It's certainly the kind of self-abasing flirtatiousness her husband finds seductive.,neutral
221493,Tension rises as new groups compete for members and cash from the same source of conservatives.,"With all these new groups competing for members and cash from the same pool of hard-core conservatives, tension is unavoidable.",entailment
347235,Does Bill ford have a better idea on how to sing the song?,Does Bill Ford Have a Better Idea?,neutral
59331,"I am glad the adventures have finally begun, she murmured.","The adventures have begun, she murmured to herself.",neutral
9022,"In 1950, it cracked, crumbled and collapsed to everyones expectations.","In 1902, it cracked, crumbled and collapsed unexpectedly.",contradiction
180666,Improved data and measuring techniques may be available soon.,"For this reason, improved data and measurement techniques may be available in the future.",neutral
339229,You won't have to wait very long; the jetfoil will be here within 30 minutes.,Jetfoils leave every 15 to 30 minutes 24 hours a day.,entailment
298098,The advice of the CIOs is relevant because they have achieved such success.,But the advice of CIOs of leading organizations should remain relevant regardless of the specifics of the situation.,neutral
384572,He cried when criticized and didn't take it well.,"Perhaps that's why he has always seemed to want to preclude critical judgment with pre-emptive strikes within his prose, anticipating our responses and silencing us.",contradiction
373676,I don't like Sixty Minutes.,and i watch Sixty Minutes,contradiction
163437,Until the garbage rotted,um-hum until the garbage all rotted or something,entailment
278058,Albert was talking to a man.,"It's a h'expression, sir, explained Albert.",entailment
287753,there are definitely only four,probably i'd say five or six,contradiction
3776,Troubled kids benefit from alternative punishments.,"She favored alternative punishments, longed to help troubled kids, worried about Draconian anti-immigration policy, and disliked the death penalty, mandatory minimum sentences, and the crack/powder cocaine sentencing disparity.",entailment
225388,The main polo season in Jamaica sees many matches on the pristine grass at Chukka Cove.,The main polo season in Jamaica sees match after match on the pristine grass at Chukka Cove.,entailment
104042,They are waiting for you there.,They wait for you there.,entailment
203853,Dr. Bauerstein is a pediatric doctor at St. Judes Hospital.,"That's Dr. Bauerstein,"" said John shortly.",neutral
392580,Prawns are not available locally.,"Nearby waters, particularly rich in prawns and red mullet, provide all manner of eating houses, both on the beach and in the town, with some of the best seafood on the coast.",contradiction
22894,The estimates totaled $17.,Recent estimates of annualized cost of compliance are in the range of $1 to $1.,contradiction
172376,Natalia told me I still had some magic left.,"Whisking me off-stage, Natalia whispered: 'Looks like you have some of the old magic left after all.'",entailment
195418,"""I've never seen that name before.""","It was really the outlandish name that caught my attention.""",neutral
282515,I mostly listen to contemporary Christian music groups.,uh-huh yeah now see i know a little bit i know a little bit about other groups i uh like i said i listen to primarily contemporary Christian,entailment
318618,"In order to achieve the missions cap of 2.24 million tons, the total must be reduced.","That total, 8.95 million short tons, is reduced by a specific percentage (75 percent) to reach the emissions cap of 2.24 million tons.",entailment
284185,You know that when she arrives there her hopes will be destroyed.,you know what's going to happen when she gets there you know all of her dreams will be dispelled,entailment
293999,The immigrating Italians brought with them luxurious materials and vast riches.,"Heavily damaged in 1948, its interior was refurbished after 1967 with objects from Italian synagogues whose communities had immigrated to Israel.",neutral
281052,He holds Johnny in high a esteem after raising him.,"But he shore thinks th' world an' all of Johnny, raising him up from a li'l cub.",entailment
24736,Ca'daan crouched down.,Gray smoke blew into the night air and the crack sent Ca'daan to the balls of his feet in a crouch.,entailment
42819,"As long as we got close to the actual amount, the utilities wouldn't punish us for not paying in full.",so much went for the mortgage because we knew you know that was kind of fixed and electricity you could come pretty close and telephone you could come pretty close uh the oil,neutral
308442,Bush's protection service has saved his life on multiple occasions.,"Against this background, Bush's Guard service looks noble.",neutral
350273,Manual transcription is now back from a decade-long slumber.,Signs of a renaissance of the handwritten word are here and there discernible.,neutral
181429,I still have a lot of calls left.,this is this is my thirtieth call,neutral
230066,"Whether you do or do not throw your weight around, criticism is inevitable.","You've been slammed for not throwing your weight around in D.C., but would certainly be criticized much more if you did throw it around.",entailment
273503,"The style of the main portal stonework is called arabesque, because it emulated the palaces of Baghdad.","The main portal is of stone carved in the style called plateresque, because it seems as delicate as a silversmith's work (platero means silversmith).",contradiction
304306,All auditors had to follow the standards in standards chapter 6 unless they received written permission to alter the audit directives.,"Depending on user needs and the auditor's qualifications, the auditor may choose to apply performance audit standards in chapters 7 and 8 to the objectives in paragraph 2.6 instead of following the attestation standards in chapter 6.",contradiction
151755,Government employees should be given an average number of holidays.,very simple give uh uh uh government employees the average number of of uh holidays as the uh,entailment
342722,You can rent gear for diving or ride in boats with glass bottoms.,"A number of companies offer underwater tours in glass-bottomed boats or submersible craft, or you can rent snorkel or scuba gear to get a closer look yourself.",entailment
343143,Nuclear weapons tests or accidents were an expected possibility.,They pledged to alert each other to nuclear weapons tests or accidents.,entailment
379318,Do not bring a hat or water.,Wear a hat and bring along plenty of mineral water.,contradiction
60228,During the past ten years they have down graded their staff.,"Over the last decade, as a result of efforts to reduce the size of government, agencies have downsized their design and engineering staffs and relied more on outside consultants for technical expertise.",entailment
294481,"He'd seen the gamecocks before, he hated them.",He'd met the gamecock breed before and had never known the need to bristle at their crowing.,neutral
194426,"You can't even talk on the phone, can you?",yes and uh good luck on on some other calls,contradiction
113107,Your mistress was awake all night.,"Have you any reason to believe that your mistress was likely to take a sleeping powder last night?""",contradiction
320742,She should ignore all advice and do what she likes.,"You'd better hold that in mind, gal.",contradiction
65045,He has moved in and out of four offices in the past month and a half alone.,He and his three boxes have moved in and out of three offices in the past month and a half alone.,contradiction
47058,OPP organized reviews from the Veterans in the Consortium pro bono program.,OPP also organized a peer review of the Veterans Consortium Pro Bono Program.,entailment
135889,Which is he?,Which he is.,entailment
293413,"In the addiction series you can learn that in America, one of every five citizens is an addict.","If you watched the addiction series, for example, you heard little about other popular views of addiction, e.g., that addicts should be forced to take responsibility for their actions, not coddled into victimization.",neutral
33047,It was significantly simplified.,i didn't notice anything simplified about it except that they took away the deductions for the interest and  other things,contradiction
135111,"As a long-term business plan, share-buyback plans are questionable.","Share-buyback plans are sketchy as long-term business strategies, but IBM's assurance that its shares were undervalued suggests that it's not particularly worried about the ultimate impact of Hong Kong's woes.",entailment
260360,It upset me to see it just sitting there.,"Sure we expected it but it kind of rattles me, all the same, to see it sitting there just where we expected to find it!"" 175 Tommy, whose calm was, perhaps, more assumed than natural, moved his feet impatiently.",entailment
326778,EPA considered the comments and took action in response.,"In the preamble to the final rule, there is extensive discussion of the comments submitted and the actions and changes to the proposed rule that EPA made as a result of its consideration of the comments.",entailment
390127,He is behind us.,How in tarnation did he get ahead of us?,contradiction
67890,A hotel and casino can be found in the beautiful gardens.,It is now a smart hotel and casino surrounded by beautiful gardens.,neutral
308760,Flytrap has never been mentioned in an article.,The newsweeklies chronicle Flytrap's denouement.,contradiction
283114,The art contained in the building has taken many centuries to accumulate.,"To fully appreciate all of its glories will take at least a couple of hours the exquisite detail in painting on pottery and frescoes, and the fine workmanship in jewelry and everyday tools is breathtaking.",neutral
127226,San'doro said he had nothing to apologize for.,"I am sorry to ask, said San'doro.",contradiction
386897,Hanson was too impatient to wait.,Use the manual controls.  Hanson waited until he estimated the men who left would be at the controls.,contradiction
288877,The galleries are free to visit.,The three art galleries contain one of the most comprehensive collections of British and French 18th- and 19th-century art in the United States.,neutral
330257,He said no.,"Yes, yes, he said.",contradiction
45622,China closed the border.,"In 1962 the colonial authorities closed the border with China, but even this did not altogether stem the flow of  The next arrivals were the Vietnamese boat people.",contradiction
135268,"Both islands in the Pacific have busts, full statues, and street names of Schoelcher.","Today the smallest hamlets on both islands honor Schoelcher with busts, full statues, and street names.",neutral
88083,Economy of truth is both pure and of considerable utility.,"economy of truth may have lost its purity, but it retains considerable utility.",contradiction
354238,The Amiga made its debut in 1987.,the Amiga well because it's made by Commodore and uh most people all they know about is IBM compatible because most people in this country that know anything about computers don't know much but they do know about IBM,neutral
14610,We have a family of five.,um it's essentially the four of us makes up my family but um,contradiction
225911,A preview of the revision was conducted by the comptroller.,A Preview of the 1999 Comprehensive Revision of the National Income and Product Accounts.,neutral
274498,Many here do not understand; I am not among that number.,Many here do not understand it but I do.,entailment
33595,The wooden berths are located three feet away from the ticket kiosks.,The ticket kiosks are right next to the wooden berths.,neutral
141068,The FFC considers its sponsored studies to be an essential part of the industry.,The findings and 18 best practices highlighted in the FFCsponsored study were presented to the forum participants by FFC.,neutral
247493,Critics dismiss it as garbage.,Critics dismiss it as tedious psychobabble.,contradiction
276162,Spain and Pyrenees are sworn enemies that heavily guard the barrier.,The formidable barrier of the Pyrenees forms the frontier with Spain.,neutral
217160,The cafes could close due to lack of business.,(Not all these cafe will be open throughout the summer months. ),neutral
237165,Mr. Carter is convinced that young Beresford never wrote a letter.,"We've had a letter from young Beresford, said Mr. Carter, coming to the point at once.",contradiction
189987,One day the cleaning people come and they'll pick up the paper.,and and and uh one day they'll pick up uh the the cleaning people come through and they'll pick up recycled paper and then the next day they'll pick up the other so,entailment
171499,The second man tripped over his body but didn't fall.,The second man tripped over his body and fell.,contradiction
45329,All the test organisms should be exposed to dilution water.,"For this reason, it is recommended that only approximately 10% of the test organisms be exposed initially to the dilution water.",contradiction
72707,The OMB assigns certain collections control numbers as a way of organizing.,OMB assigned control number 3060-0687 to the collection and approved several of the proposals while filing comment on one of the proposed requirements.,neutral
388856,It smelled awful by the time we arrived.,it got warm it was pretty smelly by the time we got there which is not too far a drive but,entailment
267486,The site where she was born was magnificent.,"According to tradition, saints Anne (Hannah) and Joachim, the parents of the Virgin Mary, lived on this site when Mary was born; you can visit the grotto beneath the church where St. Anne gave birth.",neutral
289817,Adrin thought they would join him soon.,Adrin had assumed after his first year here that they wouldn't come.,contradiction
75188,"Despite its loose context, there is little room or precedent for abuse.",The interpretations could also create incentives for abuse.,contradiction
377392,The Online Internship Application offers students nothing in the way of experience.,"There's also an Online Internship Application , which offers students experience in correspondence, grassroots organization, volunteer coordination, fundraising, events planning and coordination, and media events.",contradiction
190369,What's your opinion about our coverage of baseball,well do you think we've covered baseball,entailment
138924,Research shows that an estimated 21 percent of non-COPD premature deaths avoided come from people under the age of 65.,"Indeed, this analysis estimates that 21 percent of non-COPD premature deaths avoided are in populations under 65.",entailment
288203,I enjoyed using the clock kit.,yeah  isn't that funny i guess i do have one thing friend of mine gave me a clock kit and i i needlepointed the face,neutral
74948,Russians all have terrible educations.,um-hum well i know that Russia they're they're comparably more educated better educated than we are in our country,contradiction
199907,"The state of Yamato, as early Japan was know, consisted of a single clan.","The state of Yamato, as early Japan was known, was organized into uji, or clusters of clans, together with subordinate guilds of farmers, fishermen, hunters, weavers, and potters, all subject to the dominant uji of the imperial family.",contradiction
308878,There was a bank that lowered the interest rate that November.,One bank dropped its interest rate in November 2001 to 1 percent.,entailment
303441,The distribution of inbound mail was sent back as there were no stamps.,"The first improvement needed in regard to DC mail is a specific study providing the weight distribution of inbound mail received from DC FPAs, by class of mail.",neutral
288778,It being founded was the reason for the city's golden age.,"Founded in 788 just before the city entered its golden age as the imperial capital, its numerous buildings nestle lovingly against steep Mt.",neutral
54295,"You will get a guided tour of the Military Museum, as well as the Carriage Museum.","You'll be able to explore the Military Museum and Carriage Museum during your tour, but do take time to visit the vantage points along the western wall for wonderful views down onto vast areas of the Cityel, left unused and now decaying, and panoramic views acroseCairo.",neutral
336752,No jobs exist.,There aren't any jobs!,entailment
99054,There are currently no disaster relief assistance.,"Among the disaster programs available are temporary housing assistance, individual and family grants, low interest Small Business Administration loans, disaster un-employment assistance and crisis counseling.",contradiction
291107,The hay was not very comfortable to lie down on.,"His face patched up after a fashion, Drew lay full length on the hay in his old place over Shadow's stall back at Kells' stable.",neutral
260026,There are statues of 4 smiling buddhas near the stairway to Akash Bhairav.,"At the Indra Chowk junction, four dragon-lions snarl beside the unusual stairway entrance to the many-hued and balconied Akash Bhairav, housing a silver Bhairav image brought out on feast days.",contradiction
80828,They can't go in the water.,oh  do are you can you put them can you put them right in the water or oh that's good,contradiction
385004,By the northern end of the Dead Sea there is cheap motel with a scary looking spa.,"Toward the southern end of the Dead Sea, a major health spa center has developed, with luxury and moderate hotels offering unique Dead Sea programs for relaxation, health, and beauty.",contradiction
45275,He is the strongest and will never be overcome.,"By now he might be overpowered, borne down by sheer force of numbersâ¦ .",contradiction
125114,You realize it,you realize it,entailment
257549,Three martini lunches are unhealthy and for bankers.,three martini lunch or whatever they say,neutral
15675,Beresford is talking to someone else.,Beresford speaking.,neutral
186154,The executive is not involved in information security.,"The executive will have met this element by ensuring that information system security plans exist and are implemented in accordance with the National Institute of Standards and Technology and Office of Management and Budget guidelines; ensuring that annual risk assessments are conducted for each identified information security-applications, hardware, software-to ensure that the identified risks, vulnerabilities, and threats are addressed by appropriate security controls; and ensuring that all employees comply with departmental training requirements to understand their information security responsibilities.",contradiction
197969,The research process in case studies is free of analysis.,Analysis is infused throughout the research process in case studies,contradiction
251966,"State, local, and private resource development has increased 20%.","pert assistance; (5) engagement of pro bono attorneys; (6) development of additional state, local, and private resources; and (7) optimal configuration of service areas.",neutral
212784,Age has a massive effect on the risk from PM exposure.,"And, a recent meta-analysis has shown little effect of age on the relative risk from PM exposure (Stieb et al.",contradiction
20211,He said the trigger lock law was terrible.,He recently said that a Washington state initiative to require trigger locks was written by Satan.,entailment
244367,Yeah it would be cool if computers could do that.,um-hum yep that'd be neat sure would,neutral
334487,"People think that he is completely different to clinton, because he can't adapt","Most agree that he's a Clinton-style weather vane, adapting his positions to the demands of contrary constituencies ranging from the army to foreign investors to Western diplomats.",contradiction
374050,Smith came on awful.,yeah well Smith came on pretty good Wright was,contradiction
47079,The two of them remained calm.,"Of all of them, Vrenna and Thorn seemed the most calm.",entailment
14874,Look for the stone elephant when you visit Victoria Gardens.,"In Victoria Gardens, don't miss the stone elephant from Elephanta Island; it belongs to the Victoria and Albert Museum nearby, a reminder of the old history of Imperial Bombay.",entailment
81544,The audit report can be fabricated with lies and any information you want to include.,"In the audit plan for the engagement, you should include a brief discussion of how you plan to assess data reliability, as well as any limitations that may exist due to shortcomings in the data.",contradiction
331213,"Since I grew up in a small town, I only heard country music on our single radio station, but I'm pretty diversified besides not liking acid rock.",yeah i did too and then yeah uh i'm pretty diversified too i i don't i don't like acid rock either i've  i grew up in a small town so uh the only  we only had one radio station so it was country music but then uh when i,entailment
269116,"Sean Connery did not play oo7, it was George Clooney.",It was only Sean Connery's peculiar combination of traits--he could seem rugged and snooty at once--that made us think 007 a more interesting character than he was.,contradiction
284703,The state legislature made no follow-up of the report.,"The state legislature also followed up on the report by creating the Commission on the Future of Maine's Courts, with a similarly broad composition.",contradiction
60012,And I can see how I would feel the need to play.,and i can understand you know wanting to play but of course as i get more seniority on earth,entailment
65071,"Most of the time, the food is very good.","The food is usually quite good, though it can be a bit on the expensive side.",entailment
4550,Roanoke is a very large town.,it's not much different than when i lived in Roanoke Virginia which is really small town,contradiction
38366,"The depreciation has recently increased, and the market has shifted towards short-lived assets.","This increase in depreciation reflects a shift in the capital stock's composition from long-lived assets with relatively low depreciation rates, like steel mills, to shorter-lived assets such as computers and software.",entailment
134129,10 trillion,6 trillion.,contradiction
82725,The most horses are captured during the final weeks of March.,By the old Mexican law the hunting season for horses runs from October to March.,neutral
355339,The difference is that the computer finds the winner.,"The difference is that the computer decides when you win, not pure chance.",entailment
359126,The music is from outer space.,well world music is um a lot of the a lot of where they where they make music that they adapt to a to another kind of to another type of listener uh for example let's say you're taking like an original Brazilian form of music,contradiction
305103,Western values can and should be applied to anything located here.,It's important to remember not to apply Western values to everything you see here.,contradiction
215031,We did not change a single thing in our original model.,"In our previous paper, we made adjustments to the model to allow for comparison with Poste Italiane.",contradiction
162955,That's how you understand what's happened with staffing at the magazine.,In the black--that is the real key to understanding what's going on at Brown's magazine.,neutral
249672,Camping and eating on a beach is fun and convenient.,that can be a mess we camped at the beach one time and that was sort of miserable you just couldn't everywhere you went there was sand you couldn't even when you're eating it it was in your bed,contradiction
296348,The dead person died from a heart problem but no one knew what exactly.,"The deceased, he said, suffered from a weak heart, but otherwise enjoyed perfect health, and was of a cheerful and well-balanced disposition.",neutral
179696,Being risk-neutral is more often than not rational.,Rational does not mean risk-neutral.,neutral
271934,One side is respecting people.,One side is treating other people with civility.,entailment
303364,The Dorian invaders were responsible for an economic boom that lasted for more than a century.,"Around 1200 b.c., Dorian invaders from the Balkans drove south through the Greek mainland, the Aegean islands, and across to Crete.",neutral
279069,Bradley has a pretend casting couch.,That's Bradley's real casting couch.,contradiction
133611,The media has received a lot of information from Dagmar Simova.,"The cousin, Dagmar Simova, has been the media's main source of information about Albright's wartime experience.",entailment
32944,The never ending fields of sugarcane in Lamentin were taller then usual.,"While traveling on your way back through Lamentin to the Pointe Pitre expressway, you'll pass seemingly endless fields of unusually tall sugarcane.",entailment
270874,Poirot replied dryly.,"Exactly, said Poirot dryly.",entailment
207214,Warm had a big red oak desk.,"It was Warm's secret that the majority of his time outside of the company, he also spent behind a desk.",neutral
377703,I actually know for certain that that is highly improbable,i think that's that's that's not very likely,neutral
211958,Behavior has not been impacted by 24 hour restaurants.,But this behavior became maladaptive when access to round-the-clock hamburgers and ice cream became the norm.,contradiction
91711,The shawls and scarves are all earth tones or deep red because the natural fibers cannot be dyed.,"Other natural fibers are made into beautiful scarves, shawls, and blankets often used as wraps by Egyptians to keep the winter chills at bay and woven with rich patterns in earth tones or deep reds.",neutral
37563,The petitioners would like to prevent criticism of the welfare system.,"In petitioners' view, the restriction operates neither to maintain the current welfare system nor insulate it from attack; rather, it helps the current welfare system function in a more efficient and fair manner by removing from the program complex challenges to existing welfare laws.",contradiction
199150,The Nara National Museum houses artifacts from archaeological digs.,"Past Kofukuji is the original wing of the Nara National Museum (50 Noboriojicho; Tel. (0742) 22-7771; open 9am 4:30pm daily except Mondays), linked by an underground passage to a newer, tile-roofed building just beyond it.",neutral
361423,The Mameluke dynasty of Egypt ruled Jerusalem for 250 years.,"After they lost Jerusalem, a Mongol invasion swept through, and in 1244 the Mameluke dynasty of Egypt took control, ruling Jerusalem for the next 250 years.",entailment
95105,The expectations of our clients are confidential and are never released publicly.,"It more clearly conveys our role and the expectations of our clients in the Congress, the press, and the public.",contradiction
302814,I don't like being very cold.,uh i probably ought to i just freeze,neutral
280566,Monitoring board and program diversity is not required.,Each board is required to have a standing committee to monitor board and program diversity.,contradiction
259301,There are dozens of shops along the street of Rethymnon and Chania to be explored.,The traffic-free streets in Rethymnon and Chania are a young shopper's paradise.,neutral
177445,They became champions because of him.,yeah yeah he wasn't the guy to take them take them to the championship,contradiction
144440,There is a higher unemployment rate among black people than white people.,"Whites still outearn blacks, black unemployment is twice the rate of white unemployment, and 13 percent of black men are disenfranchised because of felony convictions.",entailment
229468,Ted bundy would have been better off working solo.,Ted Bundy with the government behind him would have been a lot worse than Ted Bundy operating solo.,contradiction
268107,The insurance HMOs in Colorado are very likable because they are inexpensive.,um that's what we the insurance that we have right now when we were in Colorado they had um a different type of HMO there that i really liked a lot,neutral
132787,Drugs aren't good and the partnership is reluctant to disagree.,About Seth Stevenson's July 23 article High and Mighty: The Partnership for a Drug-Free America has never claimed that all drug use leads to disaster.,neutral
141301,My husband was as cool as a cucumber.,i'm not kidding my husband was like totally freaking out he said i can't believe it look at that,contradiction
353226,The GAO/AIMD standards for Information Security Management is a long document.,GAO/AIMD-98-68 Information Security Management Page 11,entailment
23293,Breaking the peso commitment would be overly cumbersome at this point.,"I agree that we have a regular recession and that the currency board prevents us from applying the usual recipe, but it's not clear that it would work, and at this point breaking the peso commitment would be extremely onerous.",entailment
183441,There are no modern buildings found on the outskirts.,"The small center still retains vestiges of its heritage as a fishing village, but modern hotels and apartments have been built on the outskirts.",contradiction
46667,The state of utter silence.,Beep.,contradiction
126510,People will not save as much for retirement.,"Most importantly, it reduces the incentive to save for retirement.",entailment
21602,The AIM-9X did not bother to make prototypes of missile designs; they just created the actual missiles straight away.,The AIM-9X program made extensive use of engineering prototypes to stabilize the missile's design before building production representative prototypes.,contradiction
