,acceptability,sentence
8420,0,Not reading of Shakespeare satisfied me
5203,1,"Before you make plans, consult the secretary."
4860,0,Fred knows which book for the children to read during the summer vacation.
3775,1,John made Kim a great doll.
2953,1,I twirled the dough into a pretzel.
3957,1,Tom locked Fido in the garage.
390,1,He I often sees Mary.
3359,0,The lecture squirmed Sylvia.
1453,1,It appears to be true that Harry likes girls.
1101,1,I know a boy mad at John.
4127,1,The King of Rock and Roll's records led to dancing.
7790,0,Any boy saw no one.
3211,1,The bell chimed the hour.
6061,1,Rory eats.
6600,1,Harry has claimed but I do not believe that Melvin is a Communist.
4048,1,Tom tried to ask a question.
562,1,The fence straddles the sidewalk.
5628,1,The man is dancing.
6004,0,I want to should eat plums.
6203,1,What is bothering you?
7643,1,"Only Churchill remembered giving the Blood, Sweat and Tears speech."
64,1,Bill floated into the cave.
6449,1,Confiscate any liquor.
3410,0,Ten pounds was weighed by the package.
1230,1,I took a snooze.
2618,1,Doug removed the scratches from around the sink.
4961,0,What did Bill cook supper and wash?
7871,1,That monkey is eating the banana.
2417,1,The new tax laws will benefit the middle class.
7306,1,It was in the barn or it took place in the barn.
5877,1,Ryan hit Andrew.
2702,1,Amanda drove the package.
8186,1,Mary is faster than John is.
2038,1,I sent the package all the way around the world.
98,1,The off center spinning flywheel shook itself loose.
2573,1,I lifted the books up to him.
6704,1,Too much salt damages vehicles.
2937,1,"$100,000 will build you a house."
2197,1,I shaved my face.
1430,1,The teacher who it was expected by the reporters that the principal would fire is a crusty old jerk.
5909,1,Shannon sent Dan an email.
4015,1,He seems intelligent to study medicine.
145,0,"It is important for the more you to eat, the more careful to be."
651,1,The stone smashed the cup apart.
1125,1,Did the fact that John showed up please you?
7263,1,They know if Mary won.
7099,1,"A policeman walked in at 11, and at 12, a fireman."
321,0,Am not I going?
3007,1,Dorothy needs her for her skills.
6652,1,This large parcel is very heavy.
8315,0,That Jason had arrived was obvious infuriated Medea.
1882,1,There will be a hole in Jack's pocket.
6604,1,"John hummed, and Mary sang, the same tune."
2997,1,To win the prize :would thrill me.
3448,1,Do not end a sentence with a preposition.
8531,0,Anson believed to be happy.
7375,1,only the student left.
2973,1,The press conjectured that Smith would be the appointee.
1441,0,Would for him to have played the piano have surprised you?
5806,1,Erin never keeps her pencils in the correct drawer.
4720,0,The lake was camped beside by my sister.
8495,1,Julie and Fraser ate those delicious pies in Julie's back garden.
2739,1,Carmen bought a dress.
1967,0,I deny that that Bob has any money is certain.
408,1,John considers him a nice guy.
1317,0,Make yourself comfortable and I got sick.
4834,1,Why have you borrowed my pencil?
2467,1,In this cave was found an ancient treasure trove.
2457,1,Suddenly there entered the hall an ugly old man.
591,0,the bottle drained the liquid free.
6709,1,A piano was given to Jane Fairfax by Frank Churchill.
3713,1,He took John to the school by the park.
8150,0,The airport yawned
8399,1,Perseus saw the Gorgon in his shield.
2961,1,Sandy sang a song.
2841,1,Carrie touched the cat with the stick.
7194,0,"Your desk before, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
3532,0,They have no went.
8350,1,Who has drunk my whiskey?
4731,1,I got phoned by a woman friend.
6415,1,John talked to any politician who is powerful.
8219,0,He will could go
470,1,The children were undisciplined.
2211,1,Anne and Cathy met.
5958,0,I inquired for John to like his beer.
3274,1,The temperature soared.
1716,0,A friend of mine and a girl who was from his home town met in Vienna who was working in Europe.
8055,1,The bear sniffs
308,0,"This is the problem that you'll beat the competition more easily, the sooner you solve."
4734,0,The lesson got read by a priest.
4909,1,The president abandoned the people that voted for him.
2722,0,A bicycle lent to me.
4893,1,Jack is the person whom Jenny fell in love with.
5911,1,Jaime danced a jig.
5406,1,I've never known more of a man than Frank.
6353,1,Any man who saw the fly in the food didn't eat dinner.
4843,1,Why do you think he left?
71,1,The road zigzagged down the hill.
6255,1,Jean tried to behave.
5632,1,Zeke ate and cooked the chili.
1845,0,"We'll go together, us."
4839,1,What causes students to select particular majors?
4168,0,She doesn't believe much story.
3029,0,I hunted for game in the woods.
1887,1,Jack's pocket will have a hole in it.
3653,1,John sounded happy.
8349,0,I said this he left
502,1,We would like John to win.
3195,1,The exterminator killed the insects with DDT.
2454,1,An ancient treasure trove was found in this cave.
3296,1,A fire raged all through the mountains.
8097,0,He knows he.
636,1,John took Bill to be a fool.
1985,0,I didn't give Jack this picture of anybody.
3118,0,Cynthia munched.
935,0,"I'll turn the radio down, but I won't up."
6143,1,The boat sank.
5300,1,"It's obvious that, although he's a nice guy, John isn't too bright."
4200,1,The money that you gave me disappeared last night.
371,1,"I rolled up a newspaper, and Lynn did a magazine?"
6881,1,Erika made her mother an omelet and the kitchen a mess.
1968,1,I deny that it is certain that Bob has any money.
113,0,"I demand that the more John eat, the more he pay."
6631,1,The cat shot into the kitchen on Sunday morning carrying a dead mouse.
2058,1,I promise a good time to all who come.
4394,1,Mary would easily solve the problem.
1496,1,Tomorrow I promised chat he would be there.
5096,0,They caught her without a license is what happened.
5477,1,He's so tall a man that doors are dangerous to him.
7245,1,John knows whether she will come back.
5205,1,Is there anything I can do for you?
3394,1,They waltzed.
5112,0,The writer is that gets you so involved.
6350,0,Any woman contributed to the fund.
7499,1,We think that Bill left.
3344,1,A wonderful opportunity presented itself yesterday.
6147,0,Was sunk by the boat.
4740,1,How clever you are!
4587,1,"He had hardly collected the papers on his desk, had he?"
5405,0,I've known more of a man than Frank.
5245,0,Almost an owl hunts mice.
1811,1,Sonatas are tough to play on this violin.
396,0,John seems that it is likely to win.
8179,0,Medea seemed that has poisoned Jason.
4143,1,Students studying English read Conrad's Heart of Darkness while at university.
4679,0,The capital was gathered near by a crowd of people.
7577,1,I like Mary and she likes me.
5393,1,She writes more clearly than she speaks.
4596,1,I didn't find any bugs in my bed.
5049,1,That you came early surprised me.
5792,1,the book of poems with a red cover and with a blue spine takes a very long time to read.
1992,1,That anybody ever left at all is impossible.
8206,0,What was Euclid interested in Plato's description of?
6998,1,The scene of the movie was in Chicago.
8191,1,There seemed to be three men in the garden.
8128,0,I assumed to be innocent
6913,1,This arch supports the weight of the tower.
4896,1,I met the critic whose remarks I wanted to object to.
5811,1,No one understands that phrase structure rules explain the little understood phenomenon of the infinite length of sentences.
6194,1,That the police would arrest several rioters was a certainty.
21,1,We yelled ourselves hoarse.
4431,1,The child was never running to the car.
3297,1,All through the mountains raged a fire.
38,1,They made him president.
975,1,The writers did so believe the boy.
8542,1,Jason persuaded Medea to desert her family
785,1,That John loves Mary is doubtful.
2039,1,I sent the package to the Antarctic.
5530,1,"Mary's happy about her work, and John is about his children."
4927,1,He bought a refrigerator in which to put the beer.
7233,1,It was John that was waiting at the restaurant.
4232,1,Some of the fruit be going bad.
7339,1,I see.
1289,1,I've got to try and find that screw.
7106,0,Kim gave a dollar to Bobbie and a dime into his pocket.
1465,1,That Sam didn't pick those packages up which are to be mailed tomorrow is possible.
3011,1,Dana longs for a sunny day.
8545,0,Anson thought that himself was going to the club.
3483,0,John offers few advice.
3209,1,In the hallway there ticked a grandfather clock.
3528,1,They have no TV.
8334,1,They should have all sent Oedipus to Thebes
2631,0,Doug cleared at the table of dishes.
5003,1,John is easy to please.
4836,1,Where did he tell you that he met Mary?
2829,0,Paula's right hand spanked the naughty child.
4111,0,She was busy to make lunch.
3310,1,A loud cry echoed through the hall.
4629,1,There is believed to be a dragon in the wood.
6370,1,A pilot must be flying this plane.
3222,1,A fragrant stew bubbled over the fire.
2220,1,The sign warned us against skating on the pond.
5874,1,Traci gave the whale a lollipop.
7156,1,You will put a picture of Bill on your desk before tomorrow.
1070,0,Each other's houses proved to the women that they had bad taste.
1651,0,Here's a knife for you to say was on the table.
5236,1,I'm glad anybody likes me!
2209,1,We pulled ourselves free.
8428,0,I saw him ever.
4798,1,In which box did he put the book?
7958,1,Who is sailing to Ithaca?
385,1,The question of whether John met Mary worries the people who support.
1586,1,Webster touched a sword after Henry had done it.
3855,1,Among the guests was sitting my friend Louise.
6012,0,He always might eats deep fried muffins.
5708,1,The kangaroo hopped over the truck.
4278,1,There is likely to be a letter in the mailbox.
1797,1,This rock is light enough for Marcia to pick it up.
3580,1,It is crucial that John should show an interest.
8086,1,Who did Medea poison?
5313,1,"Though I may love her, that won't affect the grade."
3461,1,much advice is needed.
2202,1,Jill dressed hurriedly.
5330,0,"Those people will, after the party, not come home."
4695,1,Smith wants the picture to be removed from the office.
8248,1,This problem's analysis is made a lot easier when you understand differential equations.
4850,1,Fred will warn Martha that she should claim that her brother is patriotic.
1320,0,I'm hungry and did you play chess?
4577,1,The senator should not have forgotten the concerns of her constituents.
671,1,"Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library."
6442,0,You must pick any of the flowers.
1606,1,The boy who Mary loves hates her.
6357,0,Any pilot must be flying this plane.
4162,1,This Government have been more transparent in the way they have dealt with public finances than any previous government.
78,0,Bill cried Sue to sleep.
602,1,The tub leaked empty of water.
1024,1,Some professor admires every student.
4093,1,John enjoyed drawing trees for his syntax homework.
4869,1,The video which you recommended was really terrific.
3106,1,Cynthia gobbled the pizza down .
5986,1,Catherine did her homework.
6833,0,Ayala sent back her cousin the diamond necklace.
5912,1,Yuko rubbed the pizza with a garlic clove.
1984,1,I didn't give Jack a picture of anybody.
594,0,The tree broke off some branches.
8007,1,Keep yourself clean!
8356,0,She tried to may leave
47,1,The knee replacement candidate groaned up the stairs.
2031,1,I threw the ball to the other side of the field.
3289,1,In the forest languished an old woman.
5177,1,Any lawyer could tell you that.
6733,1,Nurse Rooke suspected that Mrs Clay planned to run away with.
1976,1,It is not certain that you'll marry any particular student.
5533,0,The table is longer than the door's wide.
4442,1,He has seen his children.
7456,1,Will John not go to school?
4609,1,John has taken Bill to the library.
3055,1,Susan whispered for me to come.
1008,1,I was not reading a book when you came in.
6951,1,Jane is visiting Emma.
4161,0,Two miles are as far as they can walk.
3051,1,Susan whispered to Rachel.
7706,1,The landlord donated a helicopter
5360,1,These plants may grow as high as 6 feet.
1881,1,That barn has seven pine trees behind it.
6458,0,We have many graduate students but this year the graduate director met with any student in the graduate program individually to discuss their progress.
6441,1,You may pick any of the flowers.
1534,1,John scratched his arm and the boy who knew Mary scratched her arm.
1581,0,Seven more came in after ten soldiers had left.
7781,1,Whose poem about Achilles did Homer persuade Jason that he should read?
2764,1,Michelle kept the papers in the desk.
7490,0,I read these big three books.
7420,0,John studies carefully Russian.
495,0,"Bill seems to be obnoxious, but I don't think that Sam tends."
2874,1,Herman mixed the eggs and the cream together.
1365,0,The boy's guardian's we elected employer president.
3164,1,My heart is pounding from fear.
4010,1,John made Mary cook Korean food.
3496,0,The average age at which people begin to need eyeglasses vary considerably.
2747,1,Carmen obtained the spare part.
6232,1,Jean is likely to leave.
8035,0,Can will he do it?
8258,1,I wondered had he left yet.
2975,0,Dina posed a lawyer.
3830,1,The mouse was chased by the cat.
7863,1,I want to kiss pigs
3900,0,The UN blamed global warming on humans on natural causes.
5891,1,Andrew is in Tucson's finest apartment.
7369,0,Mary will complete her exam for an hour.
1342,1,I suspect that the contract which I want to peruse before filing away the deed may some loopholes.
1398,0,Did you notice of which difficulties she made light?
3602,1,That ball hit a student.
6885,1,Near Strasbourg my brother lives.
2248,1,I pushed on the table.
7501,0,We think if Bill left.
2185,1,Sylvia jumped the horse over the fence.
2827,0,The naughty child spanked.
3440,1,"The handsome, tall man kicked the ball."
954,0,"David is a great artist, and when he does, his eyes squint at you."
7682,1,John believes Bill to have visited Mary.
776,0,he belief that Mary kissed Bill is mistaken.
4749,1,Which man did you talk to?
4567,0,The roof is leaks.
1625,0,Which boy is tall!
3238,1,Tony broke the cup against the wall.
4826,1,To protect him is not an easy task.
5880,1,Lorenzo saw the eclipse.
4635,1,John drove the car.
4371,1,"John may drink water, and Bill drink beer."
5217,1,Cows fly more often than John visits any relatives.
3331,1,The river runs from the lake to the sea.
4559,0,It has rains every day for the last week.
7791,0,What I arranged for Jenny was to be present.
7642,0,Susan hopes her to sleep.
6073,1,The tuna had been being eaten.
1216,1,The pudding which the man who ordered ice cream said would be tasty was a horror show.
5820,1,The roof of the building is leaking.
8305,1,Burn letters to Peter!
7845,1,All the dragons have been slain.
569,1,The river was avoided by the rolling stone.
4196,0,This fact is key.
8300,0,Bill reading of Shakespeare satisfied me
5971,1,The soup had been being eaten when it got spilled.
4942,1,"Reagan, whom the Republicans nominated in 1980, lived most of his life in California."
3641,0,Mary waited for the bus and to go home.
876,0,"Sally explained the attempt to arrest Holly, but only after I had denied the decision to."
861,1,"Jos̩ asks that we go to the meeting, and Sally will tell us when."
1033,1,Mary dates exactly two of the men who know a producer I like.
1486,1,"Ann is going to send a picture of Chairman Mao to her teacher, as soon as she gets home."
8108,0,Which poem did you hear Homer's recital of last night?
2187,1,The scientist ran the rats through the maze.
6075,1,The tuna will be eaten.
7566,1,They like their books.
8359,1,That Plato loved Aster seemed to be known by everyone.
6852,0,Only the best students would he give this book.
5216,1,Sue said something although she was the most likely not to say anything.
4685,0,Your books were gone most thoroughly over.
4321,0,We believed it to be a fountain in the park.
4467,1,He might have left.
7920,1,It is tough to teach syntax.
205,1,"The more articles he reads, the fewer people he thinks will go into linguistics."
7883,1,I assumed him to be innocent
3978,1,"The students of English from Seoul faced many issues in the process of interpreting, transcribing, and editing the poems."
8070,1,Who did you persuade to go?
7761,1,I think she is pregnant
159,1,Mary gets depressed if she listens to the Grateful Dead.
4120,1,Jane isn't sure whether the students keep the books.
4762,0,You can rely on that he will help you.
5197,1,And then all the owls go on a mice hunt.
239,1,He ate so much that he got sick.
7492,1,Mary sent a book to Bill.
1740,1,"They said that Tom would pay up, and pay up I believe that he did."
8445,1,Benjamin gave Lee the cloak.
4987,0,What did you meet someone who understands?
138,0,"Bill can well imagine the more he eats, the fatter getting."
4811,1,I wonder if you'd be kind enough to give us information.
237,1,I know how fast you ran.
2486,1,Pauline smiled her thanks.
1999,1,Leigh threw Lane the ball.
5284,1,How certain that the Mets will win are you?
1347,1,Reports the lettering on the covers of which the government prescribes the height of are a shocking waste of public funds.
2323,1,The twig and the branch broke apart.
1494,1,Around midnight I promised that he would be there.
2697,1,Amanda carried packages.
4691,1,The lawyer looked into the document.
6612,0,The Ethel was sitting at her desk.
5407,1,He was hoping for too much.
3611,1,John saw the man with a telescope.
8368,1,How quickly did the Greeks take Troy?
561,1,The house circuit is joined by the electric main in the basement.
6028,1,The cake was eaten.
7110,1,"Kim seems to be just surviving, and Terry in dire need of our help."
2057,1,The spunky girl has a black eye.
7083,0,Either the boys or the girls is going to be there.
3561,1,I think learning English is not easy at all.
7698,1,What Mary did with Bill was sing a song.
7058,0,I was trying and buying some whiskey.
6336,1,John loves himself.
624,1,The train reached the station fully.
7268,1,Whether she will win is a question Mary never considered.
2292,1,I whipped the eggs into a froth.
151,0,I can well imagine quickly Mary answering the question.
439,1,Mickey teamed up with the women.
1977,1,It is certain that you'll marry no student.
1019,1,Who does he admire?
152,0,I can well imagine with a hatchet Mary destroying the Jeep.
3668,0,The squirrel is right angry.
7522,1,the boy likes himself.
6309,1,"Calvin will fire someone today, but I don't know who."
2563,0,The mixture funnels.
5511,0,That's the most kind answer that I ever heard.
1864,0,I spoke to about the war yesterday that guy who's always following us.
8470,0,Anson became that he was happy
5355,0,John is as much intelligent as Mary.
8329,1,I asked did Medea poison Jason.
7663,0,John believes for Bill to have slept.
1622,1,How surprisingly well he dances!
110,1,"It is not entirely clear if the more you eat, the less you want."
2653,1,Carla mopped the floor under the furniture.
7609,1,Who did Bill leave.
2512,0,The dog smelled the flower bed bare.
5324,1,I would prefer that he not have finished.
792,1,Mary reported John to have loved her.
5626,1,She is dancing.
6916,1,The computer is playing six simultaneous games of three dimensional chess.
273,1,"The more lobbyists he talks to, the more corrupt every senator seems to become."
6339,0,John thinks that Mary's depiction of himself is wrong.
5069,1,I owe my acquittal to you.
4991,1,They ignored the suggestion that Lee lied.
836,1,John's refusing the offer is shocking.
6031,1,Reggie did not chase the ball.
2870,1,Herman mixed the eggs with the cream.
5658,1,The cat ate the spider.
3786,1,They would inform Mary of any success they have made.
8484,1,Romeo sent letters to Juliet.
989,0,The ship's sinking to collect the insurance was very devious.
5428,1,John is the kind of the fool that I told you about.
26,0,Harry coughed us into a fit.
1913,1,Bartlett and Toni danced.
8142,1,No one's mother had baked anything.
1781,1,Willy is taller than Bill by as much as everybody seems to expect me to admit to having publicly proclaimed that I believed.
1563,1,Jim will go if he feels good.
2264,1,Bill sent a package London.
1585,1,"Although no one else believes it, Harry believes that Sally is innocent."
2350,0,I stalked for game in the woods.
8311,0,Gilgamesh might loved Ishtar
2968,0,The captain named Seafarer to the ship.
2723,1,We contributed our paycheck to her.
7296,1,John can go to the market on his bike on a truck.
6293,1,Pictures of himself always disturb Milo.
6940,1,Harriet talked to Emma for hours.
6455,1,There were twenty students at the lecture and every student who was there said it was inspiring.
3849,1,He baked Tom the bread last night.
3567,0,I doubt if you to help me in understanding this.
6422,0,Any lion is generally majestic.
3479,0,The room contains little armchair.
4714,1,Their expectations will be kept up with.
453,1,Who remembers where we bought what?
2838,1,Alison poked the needle through the denim.
8024,1,Benjamin gave the cloak to Nathan
4084,1,Bill alleged that Fred signed the check.
5905,1,That Bill loves chocolate is likely.
665,1,John regards professors as strange and politicians as creepy.
4684,0,Everything was paid twice for.
7815,1,We made the claim that Perseus killed the Gorgon.
5665,1,He is filled with sincerity.
2696,1,Amanda carried packages to New York.
174,1,His expectations are always lower than mine.
679,0,John perfectly learned French.
97,1,Aliza wriggled her tooth loose.
6922,1,Sally went to the party with Andrew.
3843,1,The next morning we set out for Seoul.
5854,1,The peanut butter has got moldy.
7441,1,John was carefully studying Russian.
4658,0,Everyone rumored that he was on his way out.
7424,0,"Yes, she will use."
4406,0,I hope to can study in France.
449,0,Who is he reading a book that criticizes?
244,0,I wonder you ate how much.
5208,1,"We don't have potatoes, or at least not enough."
1078,0,The cat that the dog that the rat bit chased died.
4694,1,I assume the matter to have been filed in the appropriate records.
8250,0,Gilgamesh might have been not reading the cuneiform tablets.
233,1,So much did you eat that everyone gasped.
331,1,She does not see him.
7982,1,Where Alison and David soaked their feet was in the kitchen
1162,1,Tom drives as that man does.
8502,0,Agamemnon seemed that left.
311,1,Who did John think that Bill claimed that Mary suspected that everybody liked?
4525,1,"They can't do it, can they?"
3655,0,John sounded happily.
3872,1,John put his gold under the bathtub.
132,1,"When John eats more, keep your mouth shut tighter, OK?"
2553,1,Cheryl stood the tall books on the table.
6705,0,Too much vehicles are damaged by salt.
6354,1,You may pick any flower.
4444,0,Americans have paying income tax ever since 1913.
3895,0,John placed behind the counter.
4912,0,Every essay she's written and that I've read is on that pile.
8478,0,Where did you disappear before you hid the gold?
3457,1,much evidence is needed.
4025,0,The teacher is proud with his students.
2550,0,Cheryl stood the books from Edna to Sarah.
6109,1,Jennifer swatted Steve.
4990,1,They ignored the suggestion that Lee made.
5209,1,Every man who has any matches is happy. happy.
4894,1,Jack is the person with whom Jenny fell in love.
3352,1,A serious accident happened yesterday.
4689,1,Loren was relied on by Pavarotti and Hepburn by Bond.
7750,0,Which god the statue?
5038,1,to leave so soon would be inconvenience.
628,1,Spray all the paint onto the wall completely.
6715,1,Catherine feared that the Abbey was haunted.
1429,0,The teacher who that the principal would fire was expected by the reporters is a crusty old jerk.
6510,1,The Dodgers beat the Red Sox and the Dodgers were beaten by the Giants.
6101,1,It is likely that John will leave.
3665,1,The fly fell into the soup.
3023,1,I searched for treasure in the cave.
7068,1,Either we Americans or I myself will get ourselves in trouble.
2316,1,The oil and vinegar separated.
1932,0,Waldo didn't report the possibility that anyone had left.
3531,1,They have no friend.
2887,1,The child clung to her mother.
3700,1,"If students study hard, teachers will be happy."
6034,0,John must not do have eaten.
96,1,Bill wriggled himself loose.
787,1,For John to love Mary would be doubtful.
7763,0,Who did you believe that to kiss seemed wrong?
6021,1,The cat had been eating.
6414,1,John talked to any woman at the party.
283,0,"He seems to become more corrupt, if any senator talks to more lobbyists."
8172,1,Gilgamesh never flies dragons.
2246,1,I pushed the table.
4199,1,The papers removed from the safe have not been found.
455,0,I wonder what who bought?
3608,1,"The happy, happy, happy, happy, happy, happy man sang a song."
5780,1,I am frightened of tigers and fond of clowns without exception.
7813,1,I went to the shop for to get bread.
5199,1,At most three teachers assigned homework.
8227,1,We need some technician to help us.
5492,1,I gave her so much.
5827,1,The boy ran.
6156,1,John seems to have left.
5581,0,Gary and Kevin ran himself into exhaustion.
4474,0,I do not be happy.
3197,0,Children poison easily.
7802,1,I ate fruit
4236,1,News of Persephone and Demeter reach the great gods and goddesses of Olympus.
7185,0,"This your, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
3076,0,Ellen conferred to Helen.
4777,1,Who DID put the book in the box?
6518,1,The man I think chased Fido returned.
4091,1,The offer made Smith admire the administrators.
4439,1,John has sung a song and Mary has too.
1791,1,Sodium is a little too peppy for me to want to try mixing it and water in a teacup.
4946,0,"No student, who scored 80 or more in the exam, was ever failed."
5790,0,the book with a red cover from Blackwell of poems by Robert Burns takes a very long time to read.
1572,1,He'll bring me a hot dog if he sees one.
3265,0,Bill dried at the clothes.
5538,1,I'm more sad than angry.
3757,0,The student is belonged to by this item.
3847,1,In the summer we always go to France.
8472,0,We all thought him was unhappy
6002,0,I must can eat plums.
551,1,It came to John that it was so.
619,1,John fed the baby up with rice.
824,1,It is illegal to park here.
582,0,The cup filled the water high.
2377,1,I admired him for his honesty.
7757,1,I bought a book about Harry
3120,0,Cynthia munched peaches.
922,1,Sally will stand near every woman that you will.
329,1,"He hasn't often paid taxes, has he?"
1775,1,The hare outran the tortoise by so much that he forgot the latter was even in the race any more.
1936,0,Only the travelers who anybody has ever robbed don't carry machetes.
186,0,"The fatter that that he gets bothers him, the more he eats."
1537,1,"That the fuzz wanted him worried John, but that the fuzz wanted John didn't worry Mary."
6799,1,"When ripe, these apples will be delicious."
7130,0,This girl in the red coat will put a picture of Bill on your desk there before tomorrow.
7838,1,He kicked him
2208,1,We loaded onto the bus.
4885,1,the people happy with the proposal left.
933,0,"While Rusty might leave in order to please Mag, he won't his father."
556,1,The wall is being touched by John.
480,1,Was he believed ever to fail students?
3455,1,The student was hoping for a tool.
1154,0,He kept some girls who had been injured in the wreck company.
6428,1,All lizards will die.
1694,0,Maxwell isn't half the doctor that was here.
3286,1,An old woman lived in the forest.
4094,1,The picture on the wall reminded him of his country.
4309,1,It seemed to rain.
3466,0,many evidence was provided.
7675,0,John convinced there to be several firemen available.
3505,1,There is eager to be fifty students in this class.
6466,1,There's everything Mary had asked for in this store.
7149,1,Will the tourists go to the park?
2386,1,The president appointed Smith press secretary.
